OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel,Timepoint,Frequency
7,28,126,70,88,10000hz
2,-28,-63,100,89,10000hz
3,-25,-37,85,89,10000hz
4,-28,-50,85,89,10000hz
5,-18,-37,80,89,10000hz
6,-1,-2,70,89,10000hz
7,21,94,70,89,10000hz
2,-33,-74,100,90,10000hz
3,-25,-37,85,90,10000hz
4,-24,-43,85,90,10000hz
5,-13,-27,80,90,10000hz
6,0,0,70,90,10000hz
7,23,103,70,90,10000hz
2,-26,-58,100,91,10000hz
3,-29,-43,85,91,10000hz
4,-24,-43,85,91,10000hz
5,-18,-37,80,91,10000hz
6,-1,-2,70,91,10000hz
7,20,90,70,91,10000hz
2,-28,-63,100,92,10000hz
3,-36,-54,85,92,10000hz
4,-29,-52,85,92,10000hz
5,-19,-39,80,92,10000hz
6,2,5,70,92,10000hz
7,18,81,70,92,10000hz
2,-21,-47,100,93,10000hz
3,-30,-45,85,93,10000hz
4,-31,-55,85,93,10000hz
5,-16,-33,80,93,10000hz
6,0,0,70,93,10000hz
7,17,76,70,93,10000hz
2,-42,-94,100,94,10000hz
3,-26,-39,85,94,10000hz
4,-27,-48,85,94,10000hz
5,-17,-35,80,94,10000hz
6,-1,-2,70,94,10000hz
7,15,67,70,94,10000hz
2,-35,-78,100,95,10000hz
3,-23,-34,85,95,10000hz
4,-24,-43,85,95,10000hz
5,-15,-31,80,95,10000hz
6,0,0,70,95,10000hz
7,17,76,70,95,10000hz
2,-23,-51,100,96,10000hz
3,-31,-46,85,96,10000hz
4,-21,-37,85,96,10000hz
5,-17,-35,80,96,10000hz
6,3,7,70,96,10000hz
7,19,85,70,96,10000hz
2,-25,-56,100,97,10000hz
3,-26,-39,85,97,10000hz
4,-31,-55,85,97,10000hz
5,-16,-33,80,97,10000hz
6,0,0,70,97,10000hz
7,17,76,70,97,10000hz
2,-28,-63,100,98,10000hz
3,-30,-45,85,98,10000hz
4,-28,-50,85,98,10000hz
5,-13,-27,80,98,10000hz
6,0,0,70,98,10000hz
7,10,45,70,98,10000hz
2,-35,-78,100,99,10000hz
3,-24,-36,85,99,10000hz
4,-24,-43,85,99,10000hz
5,-19,-39,80,99,10000hz
6,-4,-10,70,99,10000hz
7,11,49,70,99,10000hz
2,-29,-65,100,100,10000hz
3,-28,-42,85,100,10000hz
4,-31,-55,85,100,10000hz
5,-16,-33,80,100,10000hz
6,-5,-12,70,100,10000hz
7,35,157,70,100,10000hz
2,-33,-74,100,101,10000hz
3,-29,-43,85,101,10000hz
4,-26,-46,85,101,10000hz
5,-21,-44,80,101,10000hz
6,-2,-5,70,101,10000hz
7,36,162,70,101,10000hz
2,-31,-69,100,102,10000hz
3,-26,-39,85,102,10000hz
4,-26,-46,85,102,10000hz
5,-17,-35,80,102,10000hz
6,0,0,70,102,10000hz
7,32,144,70,102,10000hz
2,-32,-72,100,103,10000hz
3,-27,-40,85,103,10000hz
4,-26,-46,85,103,10000hz
5,-14,-29,80,103,10000hz
6,-1,-2,70,103,10000hz
7,21,94,70,103,10000hz
2,-26,-58,100,104,10000hz
3,-20,-30,85,104,10000hz
4,-25,-45,85,104,10000hz
5,-17,-35,80,104,10000hz
6,1,2,70,104,10000hz
7,13,58,70,104,10000hz
2,-34,-76,100,105,10000hz
3,-30,-45,85,105,10000hz
4,-24,-43,85,105,10000hz
5,-19,-39,80,105,10000hz
6,1,2,70,105,10000hz
7,27,121,70,105,10000hz
2,-33,-74,100,106,10000hz
3,-20,-30,85,106,10000hz
4,-27,-48,85,106,10000hz
5,-19,-39,80,106,10000hz
6,-3,-7,70,106,10000hz
7,26,117,70,106,10000hz
2,-26,-58,100,107,10000hz
3,-21,-31,85,107,10000hz
4,-23,-41,85,107,10000hz
5,-16,-33,80,107,10000hz
6,-1,-2,70,107,10000hz
7,23,103,70,107,10000hz
2,-29,-65,100,108,10000hz
3,-31,-46,85,108,10000hz
4,-23,-41,85,108,10000hz
5,-21,-44,80,108,10000hz
6,-3,-7,70,108,10000hz
7,34,153,70,108,10000hz
2,-35,-78,100,109,10000hz
3,-22,-33,85,109,10000hz
4,-26,-46,85,109,10000hz
5,-20,-42,80,109,10000hz
6,0,0,70,109,10000hz
7,44,198,70,109,10000hz
2,-26,-58,100,110,10000hz
3,-29,-43,85,110,10000hz
4,-27,-48,85,110,10000hz
5,-21,-44,80,110,10000hz
6,-1,-2,70,110,10000hz
7,45,202,70,110,10000hz
2,-26,-58,100,111,10000hz
3,-33,-49,85,111,10000hz
4,-25,-45,85,111,10000hz
5,-13,-27,80,111,10000hz
6,-4,-10,70,111,10000hz
7,44,198,70,111,10000hz
2,-34,-76,100,112,10000hz
3,-29,-43,85,112,10000hz
4,-24,-43,85,112,10000hz
5,-15,-31,80,112,10000hz
6,-2,-5,70,112,10000hz
7,39,175,70,112,10000hz
2,-38,-85,100,113,10000hz
3,-22,-33,85,113,10000hz
4,-32,-57,85,113,10000hz
5,-15,-31,80,113,10000hz
6,2,5,70,113,10000hz
7,39,175,70,113,10000hz
2,-34,-76,100,114,10000hz
3,-2,-3,85,114,10000hz
4,-13,-23,85,114,10000hz
5,-4,-8,80,114,10000hz
6,15,38,70,114,10000hz
7,45,202,70,114,10000hz
2,-28,-63,100,115,10000hz
3,-31,-46,85,115,10000hz
4,-17,-30,85,115,10000hz
5,-16,-33,80,115,10000hz
6,-4,-10,70,115,10000hz
7,48,216,70,115,10000hz
2,-35,-78,100,116,10000hz
3,-28,-42,85,116,10000hz
4,-23,-41,85,116,10000hz
5,-16,-33,80,116,10000hz
6,-1,-2,70,116,10000hz
7,49,220,70,116,10000hz
2,-36,-81,100,117,10000hz
3,-27,-40,85,117,10000hz
4,-24,-43,85,117,10000hz
5,-18,-37,80,117,10000hz
6,-3,-7,70,117,10000hz
7,47,211,70,117,10000hz
2,-34,-76,100,118,10000hz
3,-19,-28,85,118,10000hz
4,-27,-48,85,118,10000hz
5,-20,-42,80,118,10000hz
6,0,0,70,118,10000hz
7,49,220,70,118,10000hz
2,-33,-74,100,119,10000hz
3,-31,-46,85,119,10000hz
4,-29,-52,85,119,10000hz
5,-18,-37,80,119,10000hz
6,1,2,70,119,10000hz
7,45,202,70,119,10000hz
2,-27,-60,100,120,10000hz
3,-30,-45,85,120,10000hz
4,-23,-41,85,120,10000hz
5,-20,-42,80,120,10000hz
6,-4,-10,70,120,10000hz
7,47,211,70,120,10000hz
2,-31,-69,100,121,10000hz
3,-31,-46,85,121,10000hz
4,-29,-52,85,121,10000hz
5,-18,-37,80,121,10000hz
6,-3,-7,70,121,10000hz
7,48,216,70,121,10000hz
2,-11,-24,100,122,10000hz
3,-27,-40,85,122,10000hz
4,-22,-39,85,122,10000hz
5,-13,-27,80,122,10000hz
6,0,0,70,122,10000hz
7,48,216,70,122,10000hz
2,-17,-38,100,123,10000hz
3,-18,-27,85,123,10000hz
4,-27,-48,85,123,10000hz
5,-17,-35,80,123,10000hz
6,-5,-12,70,123,10000hz
7,48,216,70,123,10000hz
2,-25,-56,100,124,10000hz
3,-28,-42,85,124,10000hz
4,-29,-52,85,124,10000hz
5,-16,-33,80,124,10000hz
6,-3,-7,70,124,10000hz
7,46,207,70,124,10000hz
2,-30,-45,100,1,1000hz
3,75,75,85,1,1000hz
4,40,48,85,1,1000hz
5,-15,-21,80,1,1000hz
6,-2,-3,70,1,1000hz
7,6,18,70,1,1000hz
2,-26,-39,100,2,1000hz
3,75,75,85,2,1000hz
4,39,46,85,2,1000hz
5,-16,-22,80,2,1000hz
6,-3,-5,70,2,1000hz
7,6,18,70,2,1000hz
2,-26,-39,100,3,1000hz
3,75,75,85,3,1000hz
4,40,48,85,3,1000hz
5,-19,-26,80,3,1000hz
6,0,0,70,3,1000hz
7,3,9,70,3,1000hz
2,-28,-42,100,4,1000hz
3,75,75,85,4,1000hz
4,40,48,85,4,1000hz
5,-17,-23,80,4,1000hz
6,1,1,70,4,1000hz
7,6,18,70,4,1000hz
2,-26,-39,100,5,1000hz
3,75,75,85,5,1000hz
4,40,48,85,5,1000hz
5,-14,-19,80,5,1000hz
6,-3,-5,70,5,1000hz
7,5,15,70,5,1000hz
2,-24,-36,100,6,1000hz
3,75,75,85,6,1000hz
4,40,48,85,6,1000hz
5,-16,-22,80,6,1000hz
6,-2,-3,70,6,1000hz
7,4,12,70,6,1000hz
2,-32,-48,100,7,1000hz
3,75,75,85,7,1000hz
4,40,48,85,7,1000hz
5,-6,-8,80,7,1000hz
6,-1,-1,70,7,1000hz
7,6,18,70,7,1000hz
2,-25,-37,100,8,1000hz
3,75,75,85,8,1000hz
4,40,48,85,8,1000hz
5,-18,-25,80,8,1000hz
6,-9,-15,70,8,1000hz
7,2,6,70,8,1000hz
2,-29,-43,100,9,1000hz
3,75,75,85,9,1000hz
4,40,48,85,9,1000hz
5,-20,-28,80,9,1000hz
6,4,6,70,9,1000hz
7,4,12,70,9,1000hz
